Sample,Original_Nodes,Reconstructed_Nodes,Node_Diff,Perfect_Preservation,Embedding_Dim
17,65,65,0,True,64
103,83,83,0,True,64
128,28,28,0,True,64
373,44,44,0,True,64
448,22,22,0,True,64
449,86,86,0,True,64
638,30,30,0,True,64
831,88,88,0,True,64
1099,10,10,0,True,64
1134,12,12,0,True,64
1144,42,42,0,True,64
1545,105,105,0,True,64
1843,25,25,0,True,64
1858,33,33,0,True,64
1891,69,69,0,True,64
1907,37,37,0,True,64
1941,22,22,0,True,64
2300,35,35,0,True,64
2331,86,86,0,True,64
2529,69,69,0,True,64
2571,52,52,0,True,64
2619,25,25,0,True,64
2620,57,57,0,True,64
2710,45,45,0,True,64
3129,25,25,0,True,64
3169,44,44,0,True,64
3597,71,71,0,True,64
3633,25,25,0,True,64
3684,24,24,0,True,64
4029,8,8,0,True,64
4088,18,18,0,True,64
4391,49,49,0,True,64
4606,16,16,0,True,64
4749,20,20,0,True,64
5030,12,12,0,True,64
5071,14,14,0,True,64
5265,25,25,0,True,64
5431,31,31,0,True,64
5474,14,14,0,True,64
5494,24,24,0,True,64
5548,14,14,0,True,64
5697,22,22,0,True,64
5798,64,64,0,True,64
5799,24,24,0,True,64
5829,54,54,0,True,64
6034,25,25,0,True,64
6212,25,25,0,True,64
6242,56,56,0,True,64
6384,15,15,0,True,64
6638,20,20,0,True,64
6672,124,124,0,True,64
6714,29,29,0,True,64
6839,23,23,0,True,64
6896,25,25,0,True,64
6934,28,28,0,True,64
7245,97,97,0,True,64
7247,25,25,0,True,64
7279,185,185,0,True,64
7420,113,113,0,True,64
7424,23,23,0,True,64
7438,63,63,0,True,64
7466,66,66,0,True,64
7493,18,18,0,True,64
7619,39,39,0,True,64
7721,25,25,0,True,64
7998,23,23,0,True,64
8401,137,137,0,True,64
8624,22,22,0,True,64
9042,491,491,0,True,64
9168,41,41,0,True,64
9433,46,46,0,True,64
9692,23,23,0,True,64
9824,12,12,0,True,64
9862,25,25,0,True,64
9933,171,171,0,True,64
10240,62,62,0,True,64
10337,21,21,0,True,64
10343,29,29,0,True,64
10509,20,20,0,True,64
10552,61,61,0,True,64
10850,28,28,0,True,64
11151,25,25,0,True,64
11169,25,25,0,True,64
11210,17,17,0,True,64
11303,18,18,0,True,64
11308,22,22,0,True,64
11576,19,19,0,True,64
11746,25,25,0,True,64
11961,41,41,0,True,64
11978,57,57,0,True,64
12075,30,30,0,True,64
12086,53,53,0,True,64
12107,25,25,0,True,64
12138,9,9,0,True,64
12172,37,37,0,True,64
12290,22,22,0,True,64
12775,134,134,0,True,64
12831,25,25,0,True,64
12853,22,22,0,True,64
12874,58,58,0,True,64
